time,best_cost
0.000159,262.0000000000
0.000160,262.0000000000
0.000162,262.0000000000
0.000163,262.0000000000
0.000165,262.0000000000
0.000166,262.0000000000
0.000168,262.0000000000
0.000169,262.0000000000
0.000171,262.0000000000
0.000172,262.0000000000
0.000173,262.0000000000
0.000175,262.0000000000
0.000176,262.0000000000
0.000178,262.0000000000
0.000179,262.0000000000
0.000181,262.0000000000
0.000182,262.0000000000
0.000184,262.0000000000
0.000185,262.0000000000
0.000187,262.0000000000
0.000188,262.0000000000
0.000190,262.0000000000
0.000191,262.0000000000
0.000193,262.0000000000
0.000194,262.0000000000
0.000196,262.0000000000
0.000197,262.0000000000
0.000198,262.0000000000
0.000200,262.0000000000
0.000201,262.0000000000
0.000203,262.0000000000
0.000204,262.0000000000
0.000206,262.0000000000
0.000208,262.0000000000
0.000209,262.0000000000
0.000211,262.0000000000
0.000212,262.0000000000
0.000214,262.0000000000
0.000215,262.0000000000
0.000216,262.0000000000
0.000218,262.0000000000
0.000219,262.0000000000
0.000221,262.0000000000
0.000222,262.0000000000
0.000224,262.0000000000
0.000225,262.0000000000
0.000227,262.0000000000
0.000228,262.0000000000
0.000230,262.0000000000
0.000231,262.0000000000
0.000233,262.0000000000
0.000234,262.0000000000
0.000236,262.0000000000
0.000237,262.0000000000
0.000239,262.0000000000
0.000240,262.0000000000
0.000242,262.0000000000
0.000243,262.0000000000
0.000244,262.0000000000
0.000246,262.0000000000
0.000247,262.0000000000
0.000248,262.0000000000
0.000250,262.0000000000
0.000251,262.0000000000
0.000253,262.0000000000
0.000254,262.0000000000
0.000256,262.0000000000
0.000257,262.0000000000
0.000258,262.0000000000
0.000260,262.0000000000
0.000261,262.0000000000
0.000263,262.0000000000
0.000264,262.0000000000
0.000266,262.0000000000
0.000267,262.0000000000
0.000269,262.0000000000
0.000270,262.0000000000
0.000272,262.0000000000
0.000273,262.0000000000
0.000274,262.0000000000
0.000276,262.0000000000
0.000277,262.0000000000
0.000279,262.0000000000
0.000280,262.0000000000
0.000282,262.0000000000
0.000283,262.0000000000
0.000285,262.0000000000
0.000286,262.0000000000
0.000287,262.0000000000
0.000289,262.0000000000
0.000290,262.0000000000
0.000292,262.0000000000
0.000293,262.0000000000
0.000295,262.0000000000
0.000296,262.0000000000
0.000298,262.0000000000
0.000299,262.0000000000
0.000301,262.0000000000
0.000302,262.0000000000
0.000304,262.0000000000
0.000305,262.0000000000
0.000307,262.0000000000
0.000308,262.0000000000
0.000309,262.0000000000
0.000311,262.0000000000
0.000312,262.0000000000
0.000314,262.0000000000
0.000315,262.0000000000
0.000317,262.0000000000
0.000318,262.0000000000
0.000320,262.0000000000
0.000321,262.0000000000
0.000323,262.0000000000
0.000324,262.0000000000
0.000326,262.0000000000
0.000327,262.0000000000
0.000329,262.0000000000
0.000330,262.0000000000
0.000332,262.0000000000
0.000333,262.0000000000
0.000335,262.0000000000
0.000336,262.0000000000
0.000338,262.0000000000
0.000339,262.0000000000
0.000341,262.0000000000
0.000342,262.0000000000
0.000344,262.0000000000
0.000345,262.0000000000
0.000347,262.0000000000
0.000348,262.0000000000
0.000350,262.0000000000
0.000351,262.0000000000
0.000353,262.0000000000
0.000354,262.0000000000
0.000355,262.0000000000
0.000357,262.0000000000
0.000358,262.0000000000
0.000360,262.0000000000
0.000361,262.0000000000
0.000363,262.0000000000
0.000364,262.0000000000
0.000366,262.0000000000
0.000367,262.0000000000
0.000369,262.0000000000
0.000370,262.0000000000
0.000372,262.0000000000
0.000373,262.0000000000
0.000375,262.0000000000
0.000376,262.0000000000
0.000377,262.0000000000
0.000379,262.0000000000
0.000380,262.0000000000
0.000382,262.0000000000
0.000383,262.0000000000
0.000385,262.0000000000
0.000386,262.0000000000
0.000388,262.0000000000
0.000389,262.0000000000
0.000390,262.0000000000
0.000391,262.0000000000
0.000393,262.0000000000
0.000394,262.0000000000
0.000396,262.0000000000
0.000397,262.0000000000
0.000399,262.0000000000
0.000400,262.0000000000
0.000402,262.0000000000
0.000403,262.0000000000
0.000405,262.0000000000
0.000406,262.0000000000
0.000407,262.0000000000
0.000409,262.0000000000
0.000410,262.0000000000
0.000412,262.0000000000
0.000413,262.0000000000
0.000415,262.0000000000
0.000416,254.0000000000
0.000418,250.0000000000
0.000419,250.0000000000
0.000421,250.0000000000
0.000422,250.0000000000
0.000424,248.0000000000
0.000425,248.0000000000
0.000427,248.0000000000
0.000429,248.0000000000
0.000430,248.0000000000
0.000431,248.0000000000
0.000433,248.0000000000
0.000434,248.0000000000
0.000436,248.0000000000
0.000437,248.0000000000
0.000439,248.0000000000
0.000440,248.0000000000
0.000442,248.0000000000
0.000443,248.0000000000
0.000446,248.0000000000
0.000447,248.0000000000
0.000448,248.0000000000
0.000450,248.0000000000
0.000451,248.0000000000
0.000453,248.0000000000
0.000454,248.0000000000
0.000456,248.0000000000
0.000457,248.0000000000
0.000459,248.0000000000
0.000460,248.0000000000
0.000462,248.0000000000
0.000464,248.0000000000
0.000465,248.0000000000
0.000467,248.0000000000
0.000468,248.0000000000
0.000470,248.0000000000
0.000471,248.0000000000
0.000473,248.0000000000
0.000474,248.0000000000
0.000476,248.0000000000
0.000477,248.0000000000
0.000479,248.0000000000
0.000480,248.0000000000
0.000483,248.0000000000
0.000484,248.0000000000
0.000486,248.0000000000
0.000487,248.0000000000
0.000489,248.0000000000
0.000490,248.0000000000
0.000492,248.0000000000
0.000493,248.0000000000
0.000494,248.0000000000
0.000496,248.0000000000
0.000497,248.0000000000
0.000499,248.0000000000
0.000501,248.0000000000
0.000503,248.0000000000
0.000504,248.0000000000
0.000505,248.0000000000
0.000507,248.0000000000
0.000508,248.0000000000
0.000510,248.0000000000
0.000511,248.0000000000
0.000513,248.0000000000
0.000514,248.0000000000
0.000516,248.0000000000
0.000517,248.0000000000
0.000519,248.0000000000
0.000520,248.0000000000
0.000522,248.0000000000
0.000523,248.0000000000
0.000525,248.0000000000
0.000526,248.0000000000
0.000528,248.0000000000
0.000529,248.0000000000
0.000531,248.0000000000
0.000532,248.0000000000
0.000534,248.0000000000
0.000535,248.0000000000
0.000537,248.0000000000
0.000538,248.0000000000
0.000539,248.0000000000
0.000541,248.0000000000
0.000542,248.0000000000
0.000546,248.0000000000
0.000548,248.0000000000
0.000549,248.0000000000
0.000551,248.0000000000
0.000552,248.0000000000
0.000554,248.0000000000
0.000555,248.0000000000
0.000557,248.0000000000
0.000558,248.0000000000
0.000560,248.0000000000
0.000561,248.0000000000
0.000563,248.0000000000
0.000564,248.0000000000
0.000565,248.0000000000
0.000567,248.0000000000
0.000568,248.0000000000
0.000570,248.0000000000
0.000571,248.0000000000
0.000573,248.0000000000
0.000574,248.0000000000
0.000576,248.0000000000
0.000577,248.0000000000
0.000579,248.0000000000
0.000580,248.0000000000
0.000581,248.0000000000
0.000583,248.0000000000
0.000584,248.0000000000
0.000586,248.0000000000
0.000587,248.0000000000
0.000589,248.0000000000
0.000590,248.0000000000
0.000592,248.0000000000
0.000593,248.0000000000
0.000595,248.0000000000
0.000596,248.0000000000
0.000598,248.0000000000
0.000599,248.0000000000
0.000600,248.0000000000
0.000602,248.0000000000
0.000603,248.0000000000
0.000605,248.0000000000
0.000606,248.0000000000
0.000608,248.0000000000
0.000609,248.0000000000
0.000610,248.0000000000
0.000612,248.0000000000
0.000619,248.0000000000
0.000621,248.0000000000
0.000622,248.0000000000
0.000627,248.0000000000
0.000628,248.0000000000
0.000630,248.0000000000
0.000631,248.0000000000
0.000633,248.0000000000
0.000634,248.0000000000
0.000635,248.0000000000
0.000637,248.0000000000
0.000638,248.0000000000
0.000639,248.0000000000
0.000641,248.0000000000
0.000642,248.0000000000
0.000643,248.0000000000
0.000644,248.0000000000
0.000646,248.0000000000
0.000647,248.0000000000
0.000648,248.0000000000
0.000650,248.0000000000
0.000651,248.0000000000
0.000652,248.0000000000
0.000654,248.0000000000
0.000655,248.0000000000
0.000656,248.0000000000
0.000658,248.0000000000
0.000659,248.0000000000
0.000660,248.0000000000
0.000662,248.0000000000
0.000663,248.0000000000
0.000664,248.0000000000
0.000666,248.0000000000
0.000667,248.0000000000
0.000668,248.0000000000
0.000669,248.0000000000
0.000671,248.0000000000
0.000672,248.0000000000
0.000673,248.0000000000
0.000675,248.0000000000
0.000676,248.0000000000
0.000677,248.0000000000
0.000679,248.0000000000
0.000680,248.0000000000
0.000681,248.0000000000
0.000682,248.0000000000
0.000684,248.0000000000
0.000685,248.0000000000
0.000686,248.0000000000
0.000688,248.0000000000
0.000693,248.0000000000
0.000694,248.0000000000
0.000695,248.0000000000
0.000697,248.0000000000
0.000698,248.0000000000
0.000699,248.0000000000
0.000701,248.0000000000
0.000702,248.0000000000
0.000703,248.0000000000
0.000704,248.0000000000
0.000706,248.0000000000
0.000707,248.0000000000
0.000708,248.0000000000
0.000710,248.0000000000
0.000711,248.0000000000
0.000712,248.0000000000
0.000714,248.0000000000
0.000715,248.0000000000
0.000716,248.0000000000
0.000717,248.0000000000
0.000719,248.0000000000
0.000720,248.0000000000
0.000721,248.0000000000
0.000723,248.0000000000
0.000724,248.0000000000
0.000725,248.0000000000
0.000726,248.0000000000
0.000728,248.0000000000
0.000729,248.0000000000
0.000730,248.0000000000
0.000732,248.0000000000
0.000733,248.0000000000
0.000734,248.0000000000
0.000736,248.0000000000
0.000737,248.0000000000
0.000738,248.0000000000
0.000740,248.0000000000
0.000741,248.0000000000
0.000742,248.0000000000
0.000743,248.0000000000
0.000745,248.0000000000
0.000746,248.0000000000
0.000747,248.0000000000
0.000749,248.0000000000
0.000750,248.0000000000
0.000751,248.0000000000
0.000753,248.0000000000
0.000754,248.0000000000
0.000755,248.0000000000
0.000757,248.0000000000
0.000758,248.0000000000
0.000759,248.0000000000
0.000760,248.0000000000
0.000762,248.0000000000
0.000763,248.0000000000
0.000764,248.0000000000
0.000766,248.0000000000
0.000767,248.0000000000
0.000768,248.0000000000
0.000769,248.0000000000
0.000771,248.0000000000
0.000772,248.0000000000
0.000773,248.0000000000
0.000775,248.0000000000
0.000776,248.0000000000
0.000777,248.0000000000
0.000779,248.0000000000
0.000780,248.0000000000
0.000781,248.0000000000
0.000783,248.0000000000
0.000784,248.0000000000
0.000785,248.0000000000
0.000787,248.0000000000
0.000788,248.0000000000
0.000789,248.0000000000
0.000791,248.0000000000
0.000792,248.0000000000
0.000793,248.0000000000
0.000795,248.0000000000
0.000796,248.0000000000
0.000797,248.0000000000
0.000799,248.0000000000
0.000800,248.0000000000
0.000801,248.0000000000
0.000802,248.0000000000
0.000804,248.0000000000
0.000805,248.0000000000
0.000806,248.0000000000
0.000808,248.0000000000
0.000809,248.0000000000
0.000810,248.0000000000
0.000812,248.0000000000
0.000813,248.0000000000
0.000814,248.0000000000
0.000816,248.0000000000
0.000817,248.0000000000
0.000818,248.0000000000
0.000820,248.0000000000
0.000821,248.0000000000
0.000822,248.0000000000
0.000824,248.0000000000
0.000825,248.0000000000
0.000826,248.0000000000
0.000828,248.0000000000
0.000829,248.0000000000
0.000830,248.0000000000
0.000831,248.0000000000
0.000833,248.0000000000
0.000834,248.0000000000
0.000835,248.0000000000
0.000837,248.0000000000
0.000838,248.0000000000
0.000839,248.0000000000
0.000840,248.0000000000
0.000842,248.0000000000
0.000843,248.0000000000
0.000844,248.0000000000
0.000845,248.0000000000
0.000847,248.0000000000
0.000848,248.0000000000
0.000849,248.0000000000
0.000850,248.0000000000
0.000852,248.0000000000
0.000853,248.0000000000
0.000854,248.0000000000
0.000855,248.0000000000
0.000856,248.0000000000
0.000857,248.0000000000
0.000859,248.0000000000
0.000860,248.0000000000
0.000861,248.0000000000
0.000862,248.0000000000
0.000863,248.0000000000
0.000865,248.0000000000
0.000866,248.0000000000
0.000867,248.0000000000
0.000868,248.0000000000
0.000869,248.0000000000
0.000870,248.0000000000
0.000872,248.0000000000
0.000873,248.0000000000
0.000874,248.0000000000
0.000875,248.0000000000
0.000876,248.0000000000
0.000877,248.0000000000
0.000878,248.0000000000
0.000880,248.0000000000
0.000881,248.0000000000
0.000882,248.0000000000
0.000883,248.0000000000
0.000884,248.0000000000
0.000885,248.0000000000
0.000887,248.0000000000
0.000888,248.0000000000
0.000889,248.0000000000
0.000890,248.0000000000
0.000891,248.0000000000
0.000892,248.0000000000
0.000894,248.0000000000
0.000895,248.0000000000
0.000896,248.0000000000
0.000897,248.0000000000
0.000898,248.0000000000
0.000899,248.0000000000
0.000900,248.0000000000
0.000901,248.0000000000
0.000903,248.0000000000
0.000904,248.0000000000
0.000905,248.0000000000
0.000906,248.0000000000
0.000907,248.0000000000
0.000908,248.0000000000
0.000910,248.0000000000
0.000911,248.0000000000
0.000912,248.0000000000
0.000913,248.0000000000
0.000914,248.0000000000
0.000915,248.0000000000
0.000917,248.0000000000
0.000918,248.0000000000
0.000919,248.0000000000
0.000920,248.0000000000
0.000921,248.0000000000
0.000922,248.0000000000
0.000924,248.0000000000
0.000925,248.0000000000
0.000926,248.0000000000
0.000927,248.0000000000
0.000928,248.0000000000
0.000929,248.0000000000
0.000930,248.0000000000
0.000932,248.0000000000
0.000933,248.0000000000
0.000934,248.0000000000
0.000935,248.0000000000
0.000936,248.0000000000
0.000937,248.0000000000
0.000939,248.0000000000
0.000940,248.0000000000
0.000941,248.0000000000
0.000942,248.0000000000
0.000943,248.0000000000
0.000944,248.0000000000
0.000946,248.0000000000
0.000947,248.0000000000
0.000948,248.0000000000
0.000949,248.0000000000
0.000950,248.0000000000
0.000952,248.0000000000
0.000953,248.0000000000
0.000954,248.0000000000
0.000955,248.0000000000
0.000956,248.0000000000
0.000958,248.0000000000
0.000959,248.0000000000
0.000960,248.0000000000
0.000962,248.0000000000
0.000963,248.0000000000
0.000964,248.0000000000
0.000965,248.0000000000
0.000967,248.0000000000
0.000968,248.0000000000
0.000969,248.0000000000
0.000970,248.0000000000
0.000971,248.0000000000
0.000973,248.0000000000
0.000974,248.0000000000
0.000975,248.0000000000
0.000976,248.0000000000
0.000978,248.0000000000
0.000979,248.0000000000
0.000980,248.0000000000
0.000981,248.0000000000
0.000982,248.0000000000
0.000983,248.0000000000
0.000985,248.0000000000
0.000986,248.0000000000
0.000987,248.0000000000
0.000988,248.0000000000
0.000989,248.0000000000
0.000990,248.0000000000
0.000992,248.0000000000
0.000993,248.0000000000
0.000994,248.0000000000
0.000995,248.0000000000
0.000996,248.0000000000
0.000997,248.0000000000
0.000999,248.0000000000
0.001000,248.0000000000
0.001001,248.0000000000
0.001002,248.0000000000
0.001003,248.0000000000
0.001004,248.0000000000
0.001005,248.0000000000
0.001007,248.0000000000
0.001008,248.0000000000
0.001009,248.0000000000
0.001010,248.0000000000
0.001011,248.0000000000
0.001012,248.0000000000
0.001014,248.0000000000
0.001015,248.0000000000
0.001016,248.0000000000
0.001017,248.0000000000
0.001018,248.0000000000
0.001019,248.0000000000
0.001020,248.0000000000
0.001021,248.0000000000
0.001023,248.0000000000
0.001024,248.0000000000
0.001025,248.0000000000
0.001026,248.0000000000
0.001030,248.0000000000
0.001031,248.0000000000
0.001032,248.0000000000
0.001034,248.0000000000
0.001035,248.0000000000
0.001036,248.0000000000
0.001037,248.0000000000
0.001038,248.0000000000
0.001040,248.0000000000
0.001041,248.0000000000
